source,target,label
AI/人を対象とした研究倫理Ⅰ,ヒューマンAIインタラクションⅠ,related
AI/人を対象とした研究倫理Ⅰ,ヒューマンAIインタラクション演習Ⅰ,related
アルゴリズムとデータ構造,プログラミング基礎,related
アルゴリズムとデータ構造,関数プログラミング,related
アントレプレナーシップとイノベーション,イノベーション・マネジメント論,related
アントレプレナーシップとイノベーション,サービス経営論,related
イノベーション・マネジメント論,サービス経営論,related
イノベーション・マネジメント論,技術経営改革実践論,related
エレクトロニクス特論,ナノデバイス加工論（実習付）,recommended
エレクトロニクス特論,応用物性数学特論,related
オペレーティングシステム特論,スマート組込みシステム開発演習,required
オペレーティングシステム特論,高機能オペレーティングシステム,exclusive
オペレーティングシステム特論,高機能コンピュータネットワーク,prerequisite
ゲーム情報学特論,機械学習,related
コンピュータネットワーク特論,IoT技術特論,prerequisite
コンピュータネットワーク特論,スマート組込みシステム開発演習,required
コンピュータネットワーク特論,ネットワーク設計演習,prerequisite
コンピュータネットワーク特論,計算機システムとAI基礎,related
コンピュータネットワーク特論,高機能コンピュータネットワーク,prerequisite
サービス経営論,トランスフォーマティブ知識経営論,related
システムダイナミクス方法論,システム科学方法論,related
システムダイナミクス方法論,生物・資源マネジメント論,related
システム制御理論,情報解析学特論,related
システム制御理論,離散信号処理特論,related
システム最適化,ネットワーク科学論,related
システム最適化,生物・資源マネジメント論,related
システム科学方法論,ネットワーク科学論,related
システム科学方法論,生物・資源マネジメント論,related
システム科学方法論,複雑系解析論,related
スマート組込みシステム開発演習,ソフトウェア設計論,related
スマート組込みシステム開発演習,ネットワーク設計演習,related
スマート組込みシステム開発演習,プログラミング基礎,related
スマート組込みシステム開発演習,高信頼組込みシステム開発プロセス設計,related
スマート組込みシステム開発演習,高信頼組込みシステム開発演習,related
ソフトウェア検証論,形式言語とオートマトン,related
ソフトウェア検証論,数理論理学,related
ソフトウェア設計論,プログラミング基礎,related
ソフトウェア設計論,実践的IoTシステムアーキテクチャ論,prerequisite
ソフトウェア設計論,高信頼組込みシステム開発プロセス設計,related
ソフトウェア設計論,高信頼組込みシステム開発演習,related
デジタル社会におけるELSI,知識科学的AI基礎論,related
デジタル社会におけるELSI,科学・技術と社会、科学コミュニケーション,related
デジタル論理と計算機構成,プロセッサ設計演習,prerequisite
デジタル論理と計算機構成,並列処理,related
デジタル論理と計算機構成,計算機アーキテクチャ特論,prerequisite
データサイエンス実践演習Ⅰ,データ分析のための情報統計学,related
データサイエンス実践演習Ⅰ,ヒューマンAIインタラクションⅠ,related
データサイエンス実践演習Ⅰ,ヒューマンAIインタラクション演習Ⅰ,related
データ分析のための情報統計学,ヒューマンAIインタラクションⅠ,prerequisite
データ分析のための情報統計学,基礎情報数学,related
データ分析のための情報統計学,実践的社会調査法,related
データ分析のための情報統計学,機械学習,prerequisite
データ分析のための情報統計学,知覚実験演習Ⅰ,related
データ分析のための情報統計学,統計的信号処理特論,prerequisite
ナノバイオテクノロジー論（実習付）,生体分子機能特論,related
ナノバイオテクノロジー論（実習付）,生体材料分析特論,related
ナノバイオテクノロジー論（実習付）,生物有機化学特論,related
ナノ分子解析論（実習付）,機器分析化学特論,related
ナノ材料分析論（実習付）,機器分析化学特論,related
ネットワーク科学論,機械学習,related
ネットワーク設計演習,コンピュータネットワーク特論,prerequisite
ネットワーク設計演習,高機能コンピュータネットワーク,related
バイオ機能・組織化特論(E),医用生体材料特論,related
ヒューマンAIインタラクションⅠ,ヒューマンAIインタラクション演習Ⅰ,related
ヒューマンAIインタラクションⅠ,機械学習,related
ヒューマンAIインタラクションⅠ,機械学習演習Ⅰ,related
ヒューマンAIインタラクション演習Ⅰ,機械学習,related
ヒューマンAIインタラクション演習Ⅰ,機械学習演習Ⅰ,related
プログラミング基礎,スマート組込みシステム開発演習,required
プログラミング基礎,計算機システムとAI基礎,related
プロセッサ設計演習,計算機アーキテクチャ特論,related
メディアデザインワークショップ,メディアデザイン実践,related
メディアデザインワークショップ,メディア創造論,related
メディアデザインワークショップ,知識創造支援メディア論,related
メディアデザインワークショップ,知識創造論,related
メディアデザイン実践,メディア創造論,related
メディアデザイン実践,知識メディア方法論,related
メディアデザイン実践,知識創造支援メディア論,related
メディアデザイン実践,知識創造論,related
メディア創造論,知識創造支援メディア論,related
メディア創造論,知識創造論,related
メディア創造論,知識科学実験／調査のためのシステム開発入門,related
並列処理,計算機アーキテクチャ特論,related
人間力イノベーション論,創出力イノベーション論,related
先端デバイス特論(E),物性評価特論,related
公開鍵暗号理論,基礎情報数学,related
公開鍵暗号理論,情報セキュリティ運用リテラシー,related
公開鍵暗号理論,暗号理論,related
公開鍵暗号理論,秘密計算,related
分子設計特論(E),有機材料物性特論,prerequisite
医用生体材料特論,生物機能概論,related
医用生体材料特論,高分子化学特論Ⅰ,related
固体物理学特論Ⅰ,ナノデバイス加工論（実習付）,recommended
固体物理学特論Ⅰ,固体物理学特論Ⅱ,prerequisite
固体物理学特論Ⅰ,応用物性数学特論,related
固体物理学特論Ⅰ,応用電磁気学特論,related
固体物理学特論Ⅰ,材料物理概論,related
固体物理学特論Ⅰ,無機材料化学特論,recommended
固体物理学特論Ⅰ,量子力学特論,recommended
固体物理学特論Ⅱ,ナノデバイス加工論（実習付）,recommended
固体物理学特論Ⅱ,固体物理学特論Ⅰ,prerequisite
固体物理学特論Ⅱ,応用電磁気学特論,related
固体物理学特論Ⅱ,統計力学特論,related
固体物理学特論Ⅱ,量子力学特論,related
基礎情報数学,ヒューマンAIインタラクションⅠ,prerequisite
基礎情報数学,基礎論理数学,related
基礎情報数学,情報解析学特論,recommended
基礎情報数学,機械学習,prerequisite
基礎情報数学,統計的信号処理特論,prerequisite
基礎情報数学,離散信号処理特論,related
基礎情報数学,音声情報処理特論,related
基礎論理数学,ヒューマンAIインタラクションⅠ,prerequisite
基礎論理数学,形式言語とオートマトン,prerequisite
基礎論理数学,数理論理学,prerequisite
基礎論理数学,機械学習,prerequisite
基礎論理数学,関数プログラミング,related
実践的社会調査法,文化進化論と社会データ科学,required
実践的社会調査法,社会科学方法論,related
実践的社会調査法,認知科学概論,related
形式言語とオートマトン,ソフトウェア検証論,prerequisite
形式言語とオートマトン,数理論理学,related
応用物性数学特論,エレクトロニクス特論,prerequisite
応用物性数学特論,固体物理学特論Ⅰ,prerequisite
応用物性数学特論,応用電磁気学特論,related
応用物性数学特論,材料物理概論,related
応用物性数学特論,統計力学特論,prerequisite
応用物性数学特論,量子力学特論,recommended
応用電磁気学特論,エレクトロニクス特論,prerequisite
応用電磁気学特論,固体物理学特論Ⅰ,prerequisite
応用電磁気学特論,材料物理概論,related
応用電磁気学特論,量子力学特論,related
情報セキュリティ運用リテラシー,暗号理論,related
情報セキュリティ運用リテラシー,最新情報セキュリティ理論と応用,related
情報セキュリティ運用リテラシー,秘密計算,related
情報解析学特論,コンピュータネットワーク特論,prerequisite
情報解析学特論,画像情報処理特論,prerequisite
情報解析学特論,知覚情報処理Ⅰ,related
情報解析学特論,統計的信号処理特論,related
情報解析学特論,認識処理工学特論,related
情報解析学特論,離散信号処理特論,related
情報解析学特論,音声情報処理特論,required
数理論理学,ソフトウェア検証論,prerequisite
数理論理学,関数プログラミング,related
数理論理学,離散状態システムの理論,prerequisite
文化進化論と社会データ科学,自然言語処理論,related
文化進化論と社会データ科学,複雑系解析論,related
文化進化論と社会データ科学,認知科学概論,related
暗号理論,最新情報セキュリティ理論と応用,related
暗号理論,秘密計算,related
最新情報セキュリティ理論と応用,秘密計算,related
有機分子化学特論,材料化学概論,related
有機分子化学特論,生体材料分析特論,related
有機分子化学特論,高分子化学特論Ⅰ,prerequisite
有機材料物性特論,材料化学概論,related
材料化学概論,有機材料物性特論,prerequisite
材料化学概論,無機材料化学特論,recommended
材料化学概論,物質計算科学特論,related
材料化学概論,触媒化学特論,prerequisite
材料化学概論,高分子化学特論Ⅰ,prerequisite
材料物理概論,応用電磁気学特論,prerequisite
材料物理概論,物質計算科学特論,related
材料物理概論,統計力学特論,related
材料物理概論,量子力学特論,recommended
材料設計特論(E),触媒化学特論,related
機器分析化学特論,有機材料物性特論,prerequisite
機器分析化学特論,生体材料分析特論,related
機器分析化学特論,触媒化学特論,related
機器分析化学特論,高分子化学特論Ⅰ,prerequisite
機器分析化学特論,高分子化学特論Ⅱ,related
機械学習,ヒューマンAIインタラクション演習Ⅰ,prerequisite
機械学習,機械学習演習Ⅰ,related
機械学習,自然言語処理論,related
機械学習,計算機システムとAI基礎,related
機能性ナノ材料特論(E),触媒化学特論,related
機能性蛋白質特論,生物機能概論,related
機能性蛋白質特論,高分子化学特論Ⅰ,prerequisite
無機材料化学特論,触媒化学特論,related
物性評価特論,物質計算科学特論,related
物質計算科学特論,計算機システムとAI基礎,related
物質計算科学特論,量子力学特論,recommended
生体分子機能特論,生物有機化学特論,recommended
生体分子機能特論,生物機能概論,related
生体分子機能特論,生物物理化学特論,related
生体材料分析特論,生物機能概論,related
生命機能工学特論(E),生物有機化学特論,recommended
生成AI特論,知識科学的AI基礎論,related
生物・資源マネジメント論,複雑系解析論,related
生物有機化学特論,生物機能概論,related
生物有機化学特論,生物物理化学特論,related
生物機能概論,機能性蛋白質特論,recommended
生物機能概論,生物有機化学特論,recommended
生物機能概論,生物物理化学特論,related
生物物理化学特論,生物有機化学特論,recommended
画像情報処理特論,離散信号処理特論,related
異分野「超」体験セッションⅠ,異分野「超」体験実践Ⅰa（JAIST）,related
異分野「超」体験セッションⅠ,異分野「超」体験実践Ⅰb（JAIST）,related
異分野「超」体験セッションⅠ,融合科学博士研究計画調査（JAIST）,related
異分野「超」体験セッションⅠ,融合科学課題研究（JAIST）,related
異分野「超」体験セッションⅡ,異分野「超」体験実践Ⅱ（JAIST）,related
知覚実験演習Ⅰ,知覚情報処理Ⅰ,related
知覚情報処理Ⅰ,知覚実験演習Ⅰ,recommended
知覚情報処理Ⅰ,認知科学概論,related
知覚情報処理Ⅰ,音声情報処理特論,related
知識メディア方法論,メディアデザイン実践,prerequisite
知識メディア方法論,知識創造論,related
知識メディア方法論,知識科学実験／調査のためのシステム開発入門,related
知識創造支援メディア論,知識創造論,related
知識創造支援メディア論,知識科学実験／調査のためのシステム開発入門,related
知識創造論,知識科学的AI基礎論,related
知識科学概論,知識科学的AI基礎論,related
知識科学概論,複雑系解析論,related
社会科学方法論,知識人類学,recommended
統計的信号処理特論,認識処理工学特論,related
統計的信号処理特論,離散信号処理特論,related
統計的信号処理特論,音声情報処理特論,required
複合システム特論(E),複雑系解析論,related
複雑系解析論,認知科学概論,related
触媒化学特論,高分子化学特論Ⅰ,related
計算機アーキテクチャ特論,プロセッサ設計演習,prerequisite
計算機アーキテクチャ特論,並列処理,required
認識処理工学特論,離散信号処理特論,related
認識処理工学特論,音声情報処理特論,related
量子力学特論,固体物理学特論Ⅰ,prerequisite
量子力学特論,無機材料化学特論,recommended
量子力学特論,統計力学特論,prerequisite
関数プログラミング,高信頼組込みシステム開発プロセス設計,related
関数プログラミング,高信頼組込みシステム開発演習,related
離散信号処理特論,画像情報処理特論,prerequisite
離散信号処理特論,音声情報処理特論,required
高信頼組込みシステム開発プロセス設計,高信頼組込みシステム開発演習,required
高信頼組込みシステム開発演習,高信頼組込みシステム開発プロセス設計,required
高分子化学特論Ⅰ,有機材料物性特論,prerequisite
高分子化学特論Ⅰ,高分子化学特論Ⅱ,related
高分子化学特論Ⅱ,高分子化学特論Ⅰ,prerequisite
